Generation,Max Fitness, Min Fitness, Average Fitness
1,7,0,3
3,7,1,4
5,7,1,4
7,7,2,4
9,7,2,4
11,7,2,5
13,7,2,5
15,7,2,5
17,7,2,5
19,7,3,5
21,7,3,5
23,8,2,5
25,8,2,5
27,8,3,5
29,8,2,5
31,8,3,5
33,8,3,5
35,8,3,6
37,8,2,6
39,8,3,6
41,8,3,6
43,8,4,6
45,8,3,6
47,8,3,6
49,8,3,6
51,8,2,6
53,8,3,6
55,9,4,6
57,9,4,6
59,9,4,7
61,9,4,7
63,9,4,7
65,9,4,7
67,9,5,7
69,9,4,7
71,10,5,7
73,10,5,7
75,10,5,7
77,10,4,7
79,10,5,7
81,10,5,7
83,10,5,8
85,10,5,8
87,12,5,8
89,12,6,8
91,12,7,9
93,12,6,9
95,12,7,9
97,14,6,9
99,14,6,9
101,14,7,10
103,14,7,10
105,14,8,11
107,14,8,11
109,14,8,11
111,14,8,12
113,15,9,12
115,16,9,13
117,16,9,13
119,16,9,13
121,16,10,13
123,16,9,13
125,16,10,14
127,17,10,14
129,18,10,14
131,18,10,14
133,19,10,15
135,19,10,15
137,19,12,15
139,19,10,15
141,19,11,16
143,19,12,16
145,19,10,17
147,19,11,17
149,19,11,18
151,20,13,18
153,20,15,18
155,20,13,18
157,20,13,18
159,20,11,18
161,20,13,18
163,20,13,18
165,20,12,19
167,20,13,19
169,20,13,19
171,20,11,19
173,20,11,19
175,20,13,19
177,20,13,19
179,20,13,19
181,20,14,19
183,20,13,19
185,20,13,19
187,20,11,19
189,20,10,19
191,20,13,19
193,20,14,19
195,20,12,19
197,20,10,19
199,20,14,19
201,20,12,19
203,20,13,19
205,20,13,19
207,20,13,19
209,20,12,19
211,20,14,19
213,20,13,19
215,20,13,19
217,20,15,19
219,20,13,19
221,20,13,19
223,20,11,19
225,20,14,19
227,20,13,19
229,20,11,19
231,20,14,19
233,20,13,19
235,20,13,19
237,20,13,19
239,20,13,19
241,20,13,19
243,20,10,19
245,20,13,19
247,20,11,19
249,20,14,19
251,20,11,19
253,20,13,19
255,20,13,19
257,20,13,19
259,20,12,19
261,20,15,19
263,20,14,19
265,20,10,19
267,20,12,19
269,20,13,19
271,20,12,19
273,20,13,19
275,20,10,19
277,20,14,19
279,20,13,19
281,20,12,19
283,20,13,19
285,20,15,19
287,20,14,19
289,20,12,19
291,20,13,19
293,20,13,19
295,20,12,19
297,20,13,19
299,20,14,19
301,20,13,19
303,20,11,19
305,20,14,19
307,20,13,19
309,20,13,19
311,20,14,19
313,20,15,19
315,20,10,19
317,20,13,19
319,20,10,19
321,20,12,19
323,20,12,19
325,20,10,19
327,20,13,19
329,20,14,19
331,20,14,19
333,20,13,19
335,20,12,19
337,20,13,19
339,20,12,19
341,20,11,19
343,20,10,19
345,20,12,19
347,20,13,19
349,20,13,19
351,20,12,19
353,20,13,19
355,20,12,19
357,20,15,19
359,20,13,19
361,20,13,19
363,20,10,19
365,20,10,19
367,20,14,19
369,20,10,19
371,20,13,19
373,20,14,19
375,20,10,19
377,20,13,19
379,20,14,19
381,20,10,19
383,20,12,19
385,20,15,19
387,20,12,19
389,20,11,19
391,20,14,19
393,20,10,19
395,20,12,19
397,20,13,19
399,20,12,19
401,20,15,19
403,20,13,19
405,20,11,19
407,20,14,19
409,20,13,19
411,20,13,19
413,20,12,19
415,20,13,19
417,20,12,19
419,20,10,19
421,20,12,19
423,20,10,19
425,20,12,19
427,20,13,19
429,20,12,19
431,20,12,19
433,20,14,19
435,20,12,19
437,20,10,19
439,20,13,19
441,20,13,19
443,20,10,19
445,20,15,19
447,20,13,19
449,20,10,19
451,20,13,19
453,20,14,19
455,20,12,19
457,20,13,19
459,20,13,19
461,20,10,19
463,20,12,19
465,20,12,19
467,20,14,19
469,20,10,19
471,20,13,19
473,20,14,19
475,20,13,19
477,20,11,19
479,20,9,19
481,20,13,19
483,20,12,19
485,20,12,19
487,20,13,19
489,20,14,19
491,20,14,19
493,20,14,19
495,20,14,19
497,20,13,19
499,20,12,19
501,20,10,19
503,20,9,19
505,20,12,19
507,20,14,19
509,20,13,19
511,20,12,19
513,20,14,19
515,20,16,19
517,20,13,19
519,20,12,19
521,20,15,19
523,20,13,19
525,20,13,19
527,20,15,19
529,20,13,19
531,20,12,19
533,20,14,19
535,20,13,19
537,20,12,19
539,20,13,19
541,20,10,19
543,20,13,19
545,20,13,19
547,20,13,19
549,20,13,19
551,20,12,19
553,20,14,19
555,20,11,19
557,20,14,19
559,20,13,19
561,20,13,19
563,20,10,19
565,20,14,19
567,20,12,19
569,20,12,19
571,20,13,19
573,20,12,19
575,20,10,19
577,20,13,19
579,20,15,19
581,20,10,19
583,20,12,19
585,20,10,19
587,20,13,19
589,20,13,19
591,20,10,19
593,20,12,19
595,20,10,19
597,20,14,19
599,20,10,19
601,20,9,19
603,20,13,19
605,20,13,19
607,20,13,19
609,20,12,19
611,20,12,19
613,20,13,19
615,20,10,19
617,20,13,19
619,20,12,19
621,20,13,19
623,20,10,19
625,20,15,19
627,20,12,19
629,20,12,19
631,20,12,19
633,20,13,19
635,20,13,19
637,20,12,19
639,20,13,19
641,20,11,19
643,20,13,19
645,20,12,19
647,20,10,19
649,20,13,19
651,20,13,19
653,20,10,19
655,20,14,19
657,20,13,19
659,20,10,19
661,20,12,19
663,20,12,19
665,20,12,19
667,20,14,19
669,20,13,19
671,20,13,19
673,20,13,19
675,20,13,19
677,20,10,19
679,20,15,19
681,20,13,19
683,20,14,19
685,20,15,19
687,20,14,19
689,20,13,19
691,20,14,19
693,20,16,19
695,20,12,19
697,20,14,19
699,20,13,19
701,20,12,19
703,20,15,19
705,20,13,19
707,20,13,19
709,20,12,19
711,20,13,19
713,20,13,19
715,20,10,19
717,20,13,19
719,20,12,19
721,20,13,19
723,20,14,19
725,20,12,19
727,20,12,19
729,20,13,19
731,20,15,19
733,20,14,19
735,20,10,19
737,20,12,19
739,20,14,19
741,20,15,19
743,20,14,19
745,20,13,19
747,20,12,19
749,20,10,19
751,20,15,19
753,20,12,19
755,20,13,19
757,20,12,19
759,20,14,19
761,20,15,19
763,20,10,19
765,20,13,19
767,20,13,19
