Generation,Max Fitness, Min Fitness, Average Fitness
1,14,1,7
3,15,2,6
5,16,1,6
7,16,2,6
9,16,1,6
11,16,1,6
13,16,1,6
15,16,1,7
17,16,1,6
19,16,1,6
21,16,1,6
23,16,2,6
25,17,2,6
27,17,1,6
29,17,1,6
31,17,2,6
33,17,1,6
35,17,1,6
37,18,1,6
39,18,1,6
41,18,2,7
43,18,2,7
45,18,2,7
47,18,2,6
49,18,1,6
51,18,1,6
53,18,2,6
55,18,2,6
57,18,2,6
59,18,1,6
61,18,1,6
63,18,1,6
65,18,1,6
67,18,2,6
69,18,2,6
71,18,2,6
73,18,1,6
75,18,2,6
77,18,2,6
79,18,1,6
81,18,2,6
83,18,2,6
85,18,2,6
87,18,2,6
89,18,1,6
91,18,1,6
93,18,1,6
95,18,2,6
97,18,2,6
99,18,1,6
101,18,2,6
103,18,1,6
105,18,2,6
107,18,1,6
109,18,1,6
111,18,2,6
113,18,2,6
115,18,2,6
117,18,1,6
119,18,1,6
121,18,1,6
123,18,1,6
125,18,2,7
127,18,1,6
129,18,1,6
131,18,1,6
133,18,2,6
135,18,1,6
137,18,2,7
139,18,1,6
141,18,1,6
143,18,1,6
145,18,2,6
147,18,1,6
149,18,2,6
151,18,1,6
153,18,1,6
155,18,1,6
157,18,1,6
159,18,1,6
161,18,2,6
163,18,2,6
165,18,2,6
167,18,1,6
169,18,2,6
171,18,1,6
173,18,1,6
175,18,1,6
177,18,2,6
179,18,1,6
181,18,1,7
183,18,2,6
185,18,2,7
187,18,1,6
189,18,1,7
191,18,2,7
193,18,1,6
195,18,1,6
197,18,0,6
199,18,1,7
201,18,2,6
203,18,1,6
205,18,1,7
207,18,1,6
209,18,1,7
211,18,2,6
213,18,2,6
215,18,2,6
217,18,2,6
219,18,1,6
221,18,2,6
223,18,2,6
225,18,1,6
227,18,1,6
229,18,1,7
231,18,1,6
233,18,1,6
235,18,2,7
237,18,2,6
239,18,2,6
241,18,1,6
243,18,2,7
245,18,1,6
247,18,2,6
249,18,1,6
251,18,1,6
253,18,1,6
255,18,1,6
257,18,1,7
259,18,1,6
261,18,2,6
263,18,2,6
265,18,2,6
267,18,1,6
269,18,2,6
271,18,2,6
273,18,2,6
275,18,2,6
277,18,1,6
279,18,1,7
281,18,2,6
283,18,1,6
285,18,2,6
287,18,1,6
289,18,1,6
291,18,1,6
293,18,1,6
295,18,2,6
297,18,2,6
299,18,1,6
301,18,1,7
303,18,1,7
305,18,1,6
307,18,2,6
309,18,1,6
311,18,2,6
313,18,1,6
315,18,1,6
317,18,1,6
319,18,1,6
321,18,1,6
323,18,2,6
325,18,2,6
327,18,2,7
329,18,2,6
331,18,2,6
333,18,2,6
335,18,1,6
337,18,2,6
339,18,1,7
341,18,1,6
343,18,2,6
345,18,1,6
347,18,1,6
349,18,2,6
351,18,2,6
353,18,1,6
355,18,2,6
357,18,2,6
359,18,1,6
361,18,2,7
363,18,1,6
365,18,1,6
367,18,2,6
369,18,0,6
371,18,2,6
373,18,2,6
375,18,1,6
377,18,1,6
379,18,1,6
381,18,1,6
383,18,2,6
385,18,2,6
387,18,1,6
389,18,1,6
391,18,1,6
393,18,1,6
395,18,2,6
397,18,1,6
399,18,1,6
401,18,1,6
403,18,1,6
405,18,1,6
407,18,1,6
409,18,2,6
411,18,2,6
413,18,2,6
415,18,1,6
417,18,2,6
419,18,1,6
421,18,1,6
423,18,1,6
425,18,1,6
427,18,1,6
429,18,1,6
431,18,2,6
433,18,1,6
435,18,1,7
437,18,1,6
439,18,1,6
441,18,1,6
443,18,2,6
445,18,1,6
447,18,2,6
449,18,1,6
451,18,1,6
453,18,2,6
455,18,1,6
457,18,1,7
459,18,1,6
461,18,2,6
463,18,2,7
465,18,2,6
467,18,2,6
469,18,2,7
471,18,2,6
473,18,1,6
475,18,1,6
477,18,2,6
479,18,1,6
481,18,2,7
483,18,1,6
485,18,1,6
487,18,1,6
489,18,1,6
491,18,1,6
493,18,2,6
495,18,2,6
497,18,1,6
