Generation,Max Fitness, Min Fitness, Average Fitness
1,5,0,2
2,6,0,3
3,7,0,3
4,8,1,4
5,8,1,4
6,8,2,4
7,9,1,4
8,11,1,5
9,11,1,5
10,13,2,6
11,14,2,7
12,17,2,8
13,19,3,9
14,21,2,10
15,22,4,11
16,24,4,12
17,25,4,13
18,25,6,14
19,27,6,15
20,28,4,15
21,29,5,16
22,31,5,18
23,32,6,19
24,33,6,20
25,34,7,21
26,39,8,22
27,40,9,24
28,40,6,25
29,41,8,26
30,41,8,28
31,42,4,28
32,42,9,30
33,42,12,31
34,42,16,32
35,42,11,33
36,42,9,34
37,42,13,35
38,44,17,35
39,44,16,36
40,44,14,36
41,44,12,36
42,45,10,36
43,45,14,37
44,45,16,37
45,45,19,37
46,45,19,37
47,45,15,37
48,45,19,38
49,45,17,38
50,45,12,38
51,45,17,38
52,46,16,38
53,46,16,39
54,46,19,38
55,46,14,38
56,46,19,39
57,46,13,38
58,46,18,39
59,46,16,40
60,46,18,39
61,46,17,39
62,46,13,39
63,46,17,39
64,46,19,39
65,46,16,39
66,47,15,38
67,47,18,40
68,47,12,39
69,47,15,39
70,47,15,39
71,47,17,39
72,47,16,40
73,47,14,40
74,47,13,40
75,47,15,40
76,47,14,40
77,47,15,40
78,47,15,39
79,47,14,40
80,47,21,39
81,47,18,40
82,47,16,40
83,47,14,39
84,47,20,40
85,47,22,39
86,47,17,40
87,47,17,39
88,47,12,39
89,47,19,39
90,47,19,40
91,49,13,40
92,49,16,40
93,49,17,40
94,49,17,40
95,49,21,40
96,49,15,41
97,49,16,41
98,49,18,41
99,49,17,41
100,49,17,41
101,49,19,41
102,49,19,41
103,49,19,41
104,49,18,41
105,49,16,41
106,49,16,41
107,49,18,41
108,49,18,41
109,49,15,42
110,49,15,41
111,49,17,41
112,49,23,42
113,49,14,41
114,49,18,42
115,49,19,42
116,49,16,42
117,49,15,41
118,49,20,43
119,49,16,42
120,49,14,42
121,49,18,42
122,49,16,42
123,49,18,41
124,49,20,41
125,49,13,40
126,49,18,41
127,49,16,41
128,49,22,41
129,49,20,42
130,49,19,41
131,49,16,41
132,49,18,41
133,49,17,41
134,49,16,41
135,49,12,41
136,49,20,42
137,49,21,42
138,49,22,42
139,49,19,42
140,49,18,42
141,49,20,42
142,49,13,42
143,49,20,42
144,49,16,42
145,50,21,42
146,50,16,41
147,50,16,41
148,50,17,41
149,50,17,42
150,50,19,42
151,50,15,42
152,50,18,42
153,50,16,42
154,50,14,42
155,50,16,42
156,50,15,41
157,50,19,42
158,50,16,42
159,50,13,41
160,50,16,41
161,50,13,41
162,50,18,41
163,50,23,42
164,50,18,42
165,50,20,42
166,50,16,43
167,50,17,42
168,50,20,42
169,50,24,43
170,50,17,42
171,50,19,43
172,50,19,43
173,50,14,41
174,50,17,42
175,50,20,42
176,50,23,43
177,50,19,43
178,50,18,43
179,50,18,42
180,50,20,41
181,50,18,41
182,50,23,41
183,50,17,41
184,50,17,41
185,50,13,42
186,50,17,42
187,50,10,42
188,50,18,42
189,50,18,42
190,50,20,42
191,50,19,42
192,50,20,42
193,50,16,42
194,50,21,42
195,50,17,42
196,50,17,41
197,50,17,41
198,50,10,42
199,50,18,42
200,50,25,43
201,50,22,43
202,50,22,43
203,50,18,42
204,50,21,42
205,50,20,42
206,50,14,43
207,50,19,42
208,50,18,42
209,50,19,42
210,50,23,43
211,50,18,43
212,50,14,42
213,50,20,42
214,50,19,43
215,50,13,42
216,50,17,43
217,50,19,43
218,50,15,43
219,50,17,42
220,50,17,42
221,50,11,41
222,50,21,42
223,50,19,42
224,50,18,42
225,50,13,42
226,50,20,42
227,50,15,42
228,50,11,42
229,50,17,42
230,50,20,43
231,50,25,43
232,50,18,43
233,50,19,43
234,50,17,42
235,50,18,43
236,50,16,42
237,50,18,43
238,50,19,44
239,50,14,43
240,50,16,42
241,50,23,43
242,50,17,42
243,50,18,43
244,50,17,43
245,50,18,43
246,50,16,42
247,50,14,42
248,50,16,43
249,50,19,43
250,50,20,43
251,50,24,43
252,50,16,43
