Generation,Max Fitness, Min Fitness, Average Fitness
0,99,0,8
1,104,0,11
2,111,0,16
3,120,0,22
4,158,0,30
5,174,0,39
6,176,0,50
7,195,1,63
8,205,3,77
9,229,7,92
10,238,5,108
11,262,9,122
12,279,25,135
13,300,38,150
14,344,37,165
15,355,26,181
16,378,54,196
17,378,40,211
18,385,32,226
19,420,32,242
20,439,73,258
21,440,94,273
22,444,91,286
23,450,84,301
24,465,116,317
25,498,185,331
26,507,102,348
27,516,177,364
28,531,141,383
29,547,204,398
30,554,252,416
31,558,249,434
32,567,275,449
33,574,304,461
34,582,334,475
35,601,295,484
36,623,372,497
37,632,345,504
38,632,361,511
39,635,379,520
40,635,362,529
41,642,362,534
42,643,369,538
43,651,372,545
44,656,397,550
45,660,420,557
46,666,441,562
47,672,395,563
48,676,392,567
49,680,379,572
50,697,408,578
51,697,392,582
52,704,392,588
53,710,403,594
54,723,421,601
55,734,462,605
56,740,459,612
57,744,453,617
58,767,476,621
59,771,462,625
60,772,468,629
61,775,478,632
62,775,475,639
63,775,474,645
64,780,476,647
65,781,485,649
66,786,485,652
67,786,478,656
68,789,474,659
69,789,487,659
70,801,482,662
71,801,467,667
72,820,485,669
73,820,472,669
74,820,481,670
75,820,478,671
76,820,477,672
77,820,491,676
78,820,480,679
79,820,479,681
80,829,456,683
81,829,470,683
82,829,468,682
83,830,473,684
84,830,490,685
85,830,490,685
86,830,482,690
87,833,491,690
88,835,475,689
89,838,490,691
90,838,492,689
91,838,492,692
92,838,480,690
93,840,470,692
94,840,486,693
95,840,483,694
96,840,492,697
97,843,473,698
98,843,490,702
99,843,494,701
100,847,485,703
101,853,481,700
102,856,507,705
103,858,490,707
104,858,485,701
105,858,487,702
106,858,484,703
107,859,491,703
108,859,490,710
109,861,484,709
110,861,486,708
111,861,487,713
112,864,489,712
113,864,496,713
114,864,493,715
115,864,505,713
116,864,487,717
117,864,504,719
118,864,488,722
119,864,487,719
120,864,498,718
121,866,504,719
122,867,487,718
123,867,494,721
124,867,500,721
125,869,496,723
126,869,477,719
127,870,509,721
128,871,480,722
129,871,509,723
130,871,475,725
131,874,502,726
132,874,499,728
133,875,483,732
134,875,500,731
135,876,501,729
136,876,504,728
137,877,514,728
138,881,494,728
139,881,508,726
140,881,504,729
141,881,498,728
142,881,496,732
143,881,498,734
144,881,501,730
145,884,502,731
146,884,487,731
147,884,505,731
148,886,483,731
149,887,509,729
150,887,501,732
151,887,494,726
152,887,490,726
153,887,494,728
154,887,498,735
155,887,491,732
156,887,488,730
157,887,492,735
158,887,500,736
159,887,484,737
160,892,491,736
161,892,495,735
162,892,499,731
163,892,490,729
164,892,487,731
165,894,493,734
166,894,485,735
167,894,485,739
168,894,496,740
169,894,507,740
170,894,502,743
171,897,493,743
172,897,501,741
173,899,500,741
174,900,504,741
175,900,488,746
176,900,490,743
177,900,496,742
178,900,497,743
179,900,501,744
180,900,509,741
181,901,498,742
182,901,498,743
183,903,494,743
184,904,497,742
185,904,488,742
186,904,489,741
187,904,488,739
188,904,497,738
189,904,484,738
190,904,495,739
191,904,482,744
192,904,490,744
193,904,488,742
194,904,491,742
195,904,497,745
196,904,498,745
197,904,500,745
198,904,496,740
199,904,489,740
200,904,493,742
201,904,497,741
202,904,491,741
203,904,497,740
204,907,489,739
205,908,490,736
206,908,488,735
207,908,483,739
208,908,486,736
209,908,487,739
210,908,482,743
211,908,483,742
212,908,477,743
213,911,496,745
214,911,498,748
215,911,487,741
216,911,471,737
217,911,479,741
218,911,499,745
219,912,492,745
220,925,478,748
221,925,498,748
222,925,486,753
223,925,497,753
224,925,489,750
225,925,478,749
226,925,476,750
227,925,483,754
228,925,498,750
229,925,481,749
230,925,480,748
231,925,496,751
232,925,485,752
233,925,485,748
234,925,495,750
235,926,486,753
236,926,490,757
237,926,485,755
238,926,491,752
239,926,482,751
240,926,498,752
241,926,475,753
242,926,486,755
243,926,487,755
244,926,491,756
245,926,477,756
246,926,480,756
247,926,483,758
248,930,489,759
249,930,486,757
250,930,472,758
251,930,475,760
252,935,491,759
253,938,474,760
254,938,493,761
255,938,494,767
256,938,485,762
257,938,497,763
258,938,485,761
259,938,491,764
260,938,484,758
261,938,480,761
262,940,476,757
263,940,480,761
264,940,475,762
265,940,490,762
266,940,487,767
267,940,482,762
268,940,473,760
269,940,488,762
270,940,474,763
271,940,493,762
272,940,484,766
273,940,473,759
274,940,497,761
275,940,480,762
276,940,487,766
277,941,487,763
278,941,473,760
279,941,476,763
280,941,479,761
281,941,483,760
282,941,481,756
283,941,480,766
284,941,478,763
285,941,490,763
286,942,472,764
287,942,472,764
288,942,473,766
289,943,476,764
290,943,487,766
291,943,476,765
292,943,485,764
293,943,493,760
294,943,496,767
295,943,468,764
296,943,492,766
297,943,470,765
298,943,482,764
299,943,473,765
300,943,476,764
301,943,483,760
302,943,468,761
303,943,479,768
304,943,469,766
305,947,488,766
306,947,474,765
307,947,468,766
308,947,489,762
309,947,471,763
310,947,483,766
311,947,482,761
312,947,495,764
313,947,484,764
314,947,464,762
315,947,477,761
316,947,472,765
317,947,466,766
318,947,470,768
319,947,484,769
320,947,477,769
321,947,483,770
322,947,486,771
323,947,467,765
324,947,477,763
325,947,472,766
326,947,476,765
327,947,479,769
328,947,491,769
329,947,488,772
330,947,483,769
331,947,480,765
332,947,477,764
333,947,467,764
334,947,483,770
335,947,474,769
336,947,479,773
337,947,493,773
338,947,470,769
339,947,479,766
340,947,480,768
341,949,481,764
342,949,482,767
343,952,485,772
344,952,479,772
345,952,472,771
346,952,472,770
347,952,475,768
348,952,471,767
349,952,477,766
350,952,475,765
351,952,485,767
352,952,482,768
353,952,483,770
354,952,469,769
355,952,470,769
356,952,477,772
357,952,469,771
358,952,463,767
359,952,475,767
360,952,470,764
361,952,472,766
362,952,478,770
363,952,480,774
364,952,479,767
365,952,480,766
366,952,478,771
367,953,472,775
368,953,456,769
369,953,473,769
370,953,482,771
371,953,479,768
372,953,470,765
373,955,483,768
374,955,474,770
375,955,459,768
376,955,475,773
377,955,474,771
378,955,479,772
379,955,460,773
380,955,458,773
381,955,471,773
382,955,463,768
383,955,466,768
384,955,466,767
385,955,474,774
386,955,464,772
387,955,472,779
388,955,480,772
389,955,487,771
390,955,468,773
391,955,474,771
392,955,474,775
393,955,469,776
394,955,478,770
395,955,476,769
396,955,478,770
397,955,478,772
398,955,475,774
399,955,476,775
400,955,474,778
401,955,476,775
402,955,484,772
403,955,478,772
404,955,468,770
405,955,469,773
406,955,476,772
407,955,478,772
408,955,481,775
409,955,481,772
410,955,481,773
411,955,461,769
412,955,476,770
413,955,467,771
414,955,456,768
415,955,473,771
416,955,466,771
417,955,459,774
418,955,471,776
419,955,454,776
420,955,456,775
421,955,472,773
422,955,466,774
423,955,471,772
424,955,480,772
425,956,454,771
426,956,467,775
427,956,474,773
428,956,464,768
429,956,462,770
430,956,466,775
431,956,484,775
432,956,469,776
433,956,465,776
434,956,459,773
435,956,475,773
436,956,469,770
437,956,464,775
438,956,454,775
439,956,461,770
440,956,447,771
441,956,469,766
442,956,470,771
443,956,465,772
444,956,467,771
445,956,476,770
446,956,463,770
447,956,461,775
448,956,456,774
449,956,462,776
450,956,445,778
451,956,461,771
452,959,474,773
453,959,451,773
454,960,447,780
455,962,443,773
456,962,469,774
457,962,468,769
458,962,474,776
459,962,447,779
460,962,448,779
461,962,470,774
462,962,459,765
463,962,454,768
464,963,470,768
465,963,477,775
466,963,459,777
467,963,459,770
468,963,477,770
469,963,468,769
470,963,462,772
471,963,461,773
472,963,470,769
473,963,468,771
474,963,458,771
475,963,457,770
476,963,461,775
477,963,463,780
478,963,467,773
479,963,461,771
480,963,461,773
481,963,463,779
482,963,472,776
483,963,460,778
484,963,463,779
485,963,467,780
486,963,449,774
487,963,463,775
488,963,471,775
489,963,463,780
490,963,472,779
491,963,456,777
492,963,472,776
493,963,466,775
494,963,461,774
495,963,454,776
496,963,465,776
497,963,452,778
498,963,460,779
499,963,474,778
500,963,471,772
501,963,453,774
502,965,455,779
503,965,451,775
504,965,462,780
505,967,448,778
506,967,468,775
507,968,457,777
508,968,463,773
509,968,467,771
510,971,461,774
511,971,458,772
512,971,449,774
513,971,450,774
514,971,452,781
515,971,455,779
516,971,458,777
517,971,457,777
518,971,447,778
519,971,454,774
520,971,452,778
521,971,463,775
522,971,452,776
523,971,445,780
524,971,458,777
525,971,458,773
526,971,455,773
527,971,464,772
528,971,444,770
529,971,461,769
530,971,445,770
531,971,453,770
532,971,456,777
533,971,449,773
534,971,442,769
535,971,451,771
536,971,440,776
537,971,453,774
538,971,458,769
539,971,445,769
540,971,457,773
541,971,466,770
542,971,433,770
543,971,457,772
544,971,459,768
545,971,462,773
546,971,445,770
547,971,453,771
548,971,440,772
549,971,455,769
550,971,452,773
551,972,446,772
552,972,453,766
553,972,429,766
554,974,432,770
555,974,443,768
556,974,451,770
557,974,452,772
558,974,443,773
559,974,450,768
560,974,449,773
561,974,456,771
562,974,444,771
563,974,451,769
564,974,454,770
565,974,452,771
566,974,449,775
567,975,447,775
568,975,443,771
569,975,451,775
570,977,457,777
571,977,461,777
572,977,436,770
573,977,461,770
574,977,451,769
575,977,443,778
576,977,445,779
577,977,448,776
578,977,451,776
579,977,451,774
580,977,456,774
581,977,434,779
582,977,452,784
583,977,444,788
584,977,462,782
585,977,459,781
586,977,478,782
587,977,445,778
588,977,437,776
589,977,451,776
590,977,450,778
591,977,456,778
592,977,461,774
593,977,466,771
594,977,451,776
595,977,454,775
596,977,469,778
597,977,429,777
598,977,449,773
599,977,442,774
600,977,445,779
601,977,451,778
602,977,446,776
603,977,443,780
